CONFIGURATION:
experiment file = experiments/parent_child_invariance_testing.py
git branch = main
git commit hash = 6a88ef0c1b72cfb62fd7eeddc4d7ce3bd1faea6f
uncommitted changes = True
seed = 42
engine_config_name = local_400_nodes.ini
data_config_name = parent_child_experiment_middlegames_most_important_fens.ini
num_positions = 1000
network_path = T807785-b124efddc27559564d6464ba3d213a8279b7bd35b1cbfcf9c842ae8053721207
queue_max_size = 100000
num_engine_workers = 2
result_subdir = 

parent_fen,child_fen,move,parent_score,child_score
5k1r/pprbbp1p/3Np3/4p3/8/3QP3/Pq2BPPP/3R1RK1 w - - 8 18,5k1r/pprbbp1p/3Np3/4p2B/8/3QP3/Pq3PPP/3R1RK1 b - - 9 18,e2h5,-0.04057,0.40493
3r2k1/p1qrnppp/2p1pb2/1pP5/1P1PQ3/1BBR2PP/P4P2/3R2K1 b - - 0 23,3r2k1/p1qr1ppp/2p1pb2/1pP2n2/1P1PQ3/1BBR2PP/P4P2/3R2K1 w - - 1 24,e7f5,-0.08783,0.44937
5rk1/p4ppp/5nb1/1Q6/P3P2K/4qP2/4B1PP/R6R b - - 5 22,5rk1/5ppp/p4nb1/1Q6/P3P2K/4qP2/4B1PP/R6R w - - 0 23,a7a6,0.36743,-0.00668
r4r1k/pppb1p1p/1b1q4/3P4/2B1R3/5PN1/P4P1P/2Q2RK1 b - - 0 23,r4r1k/pppb3p/1b1q4/3P1p2/2B1R3/5PN1/P4P1P/2Q2RK1 w - - 0 24,f7f5,0.0923,0.2619
5n2/5nkp/4pN2/1p4P1/p4P1Q/3q1BK1/Pr6/4R3 w - - 0 41,4Nn2/5nkp/4p3/1p4P1/p4P1Q/3q1BK1/Pr6/4R3 b - - 1 41,f6e8,-0.171,0.52435
rn3rk1/p1p4p/1p1b4/3q1p2/2NPpP2/P1P5/Q5PP/1RB2RK1 b - - 1 18,r4rk1/p1p4p/1pnb4/3q1p2/2NPpP2/P1P5/Q5PP/1RB2RK1 w - - 2 19,b8c6,-0.31727,0.67004
7k/6pp/2p4r/2p1p1q1/3pP2r/1P3P1P/P1P1Q1PK/3R1R2 w - - 2 35,7k/6pp/2p4r/2p1p1q1/3pP2r/1P3P1P/P1P2QPK/3R1R2 b - - 3 35,e2f2,0.46417,-0.11669
2b2q1k/3p2pp/pr2P3/2p2p2/2B4P/6Q1/PP1R2P1/4K3 w - - 1 30,2b2q1k/3P2pp/pr6/2p2p2/2B4P/6Q1/PP1R2P1/4K3 b - - 0 30,e6d7,0.61279,-0.26696
2b1r1k1/2q1pp2/3pB1p1/2pPb3/pr5N/3Q2P1/1P2P2P/R2R2K1 b - - 1 23,2b1r3/2q1ppk1/3pB1p1/2pPb3/pr5N/3Q2P1/1P2P2P/R2R2K1 w - - 2 24,g8g7,0.01975,0.32592
r2q2k1/pppb1npp/3pr3/5p1N/1PP5/3P4/PB3PPP/R2Q1RK1 w - - 5 19,r2q2k1/pppb1nBp/3pr3/5p1N/1PP5/3P4/P4PPP/R2Q1RK1 b - - 0 19,b2g7,0.23228,0.10942
1rbnk2r/2q1b3/3p1ppp/1ppPn3/4PB2/2PB1NN1/1P4PP/R2QR1K1 w k - 3 23,1rbnk2r/2q1b3/3p1ppp/1ppPn3/4PB1N/2PB2N1/1P4PP/R2QR1K1 b k - 4 23,f3h4,0.27211,0.06877
4r1k1/5pp1/5n1p/1R6/2Bp1qP1/2b2P2/P1Q5/3K1R2 w - - 2 34,4r1k1/1R3pp1/5n1p/8/2Bp1qP1/2b2P2/P1Q5/3K1R2 b - - 3 34,b5b7,-0.3063,0.64243
r1r1q1k1/p2n2pp/Qpp5/3p2bN/1B1P4/4P2R/PP4PP/5R1K b - - 17 26,r1r1q1k1/p5pp/Qpp2n2/3p2bN/1B1P4/4P2R/PP4PP/5R1K w - - 18 27,d7f6,0.02207,0.31263
2rr1k2/4bp2/p5q1/1p1BPN1p/1P6/P2Q4/6PP/3R3K w - - 1 30,2rr1k2/4bp2/p5q1/1p1BPN1p/1P6/P2Q4/6PP/5R1K b - - 2 30,d1f1,-0.3611,0.69495
r6k/pp2p3/3pbr1p/2p4P/4PN1Q/2PPK1P1/q7/5R1R b - - 1 28,r6k/pp2p3/3pbr1p/2p4P/4PN1Q/1qPPK1P1/8/5R1R w - - 2 29,a2b3,-0.19284,0.5236
6kr/2p4q/3p2n1/1B1Pp1p1/P3P1P1/5KP1/1PQ5/R7 w - - 0 40,6kr/2p4q/3p2n1/1B1Pp1p1/P3P1P1/4K1P1/1PQ5/R7 b - - 1 40,f3e3,0.82832,-0.49818
2rr2k1/p2bbp2/7p/2pp2p1/N5n1/2B3PB/PP1RPP1P/2R3K1 b - - 5 24,2rr2k1/p2bb3/7p/2pp1pp1/N5n1/2B3PB/PP1RPP1P/2R3K1 w - - 0 25,f7f5,0.08523,0.24361
4r1n1/2pq1r1k/1p1pn1pb/1P1N1p2/1PQ2P2/7P/1B2P1BK/2R2R2 w - - 9 33,4r1n1/2pq1r1k/1p1pn1pb/1P1N1p2/1PQ1PP2/7P/1B4BK/2R2R2 b - - 0 33,e2e4,0.54345,-0.21572
6rk/pp5p/3p3q/1B2pQ2/1P3Pn1/8/P4P1P/2R2K2 w - - 3 30,6rk/ppR4p/3p3q/1B2pQ2/1P3Pn1/8/P4P1P/5K2 b - - 4 30,c1c7,0.08627,0.24107
k1r5/1p4pp/pb2rp2/3qP3/3P4/1R2B3/PP1RQ1PP/7K w - - 4 27,k1r5/1p4pp/pb2rp2/3qP3/3P4/1R2B2P/PP1RQ1P1/7K b - - 0 27,h2h3,-0.00616,0.32736
3nk3/2r5/p2B3p/1p1QpPq1/4Pbr1/2P5/PPB1R3/4KR2 b - - 12 35,3nk3/3r4/p2B3p/1p1QpPq1/4Pbr1/2P5/PPB1R3/4KR2 w - - 13 36,c7d7,0.03415,0.28288
2r2r1k/p5p1/4Q2p/1R2P3/8/5pP1/P1q2P1P/5RK1 w - - 0 29,2r2r1k/pR4p1/4Q2p/4P3/8/5pP1/P1q2P1P/5RK1 b - - 1 29,b5b7,0.17781,0.13861
r5k1/p3bp1p/1q3np1/3p2B1/2p4Q/3nP3/RP2NPPP/3R2K1 b - - 9 33,r5k1/p3bp1p/1q3np1/3p2B1/2p4Q/4P3/RP2NnPP/3R2K1 w - - 0 34,d3f2,0.17374,0.14123
3r1rk1/2qn1ppp/b1p2n2/1pb1pPN1/p3P1P1/P1P2Q2/BP5P/R1BNK2R w KQ - 1 17,3r1rk1/2qn1Npp/b1p2n2/1pb1pP2/p3P1P1/P1P2Q2/BP5P/R1BNK2R b KQ - 0 17,g5f7,-0.25673,-0.05803
4rr2/1bq2pkp/p3pNn1/n3P2Q/PppP4/8/1PB2PPP/R2R2K1 b - - 5 24,4r2r/1bq2pkp/p3pNn1/n3P2Q/PppP4/8/1PB2PPP/R2R2K1 w - - 6 25,f8h8,0.00472,0.3076
r5k1/pp4p1/6qp/3P3n/4p1b1/8/PP3PPK/1BRR1Q2 w - - 1 25,r5k1/pp4p1/6qp/3P3n/4p1b1/8/PP3PPK/1BR1RQ2 b - - 2 25,d1e1,0.39423,-0.08483
3r2k1/1p1r2pp/5p2/1pp1p3/4P3/PqPP1Q2/1P1R2PP/3R2K1 w - - 0 24,3r2k1/1p1r2pp/5p2/1pp1p3/4P3/PqPP4/1P1R1QPP/3R2K1 b - - 1 24,f3f2,-0.07919,0.38799
4rk2/R3n3/2p1p1p1/p1PpP1P1/3P1P2/6K1/4qB2/1Q6 w - - 2 52,4rk2/RQ2n3/2p1p1p1/p1PpP1P1/3P1P2/6K1/4qB2/8 b - - 3 52,b1b7,-0.56336,0.86606
r1b1r3/ppk1q1b1/1npR1p1p/Q3p1p1/2B1N3/6B1/PP3PPP/3R2K1 b - - 11 20,r1b1r3/ppk1q1b1/1npR3p/Q3ppp1/2B1N3/6B1/PP3PPP/3R2K1 w - - 0 21,f6f5,0.45062,-0.14917
6k1/p2r2p1/1pbPp2p/2p1B3/2P2R2/P5QP/6PK/1q6 w - - 4 29,6k1/p2r2p1/1pbPp2p/2p1B3/2P3R1/P5QP/6PK/1q6 b - - 5 29,f4g4,0.37028,-0.67098
1rk4r/1b3p1p/pPBp2p1/3P4/N1pb1P2/8/1P4PP/2R2R1K b - - 1 23,1rk4r/1b3p1p/pPBp2p1/2bP4/N1p2P2/8/1P4PP/2R2R1K w - - 2 24,d4c5,-0.40789,0.70824
R1b1rrk1/2p2ppp/1b6/1p4N1/5B2/1BPn2P1/1P3P1P/5RK1 w - - 4 23,R1b1rrk1/2p2ppp/1b6/1p4N1/8/1BPnB1P1/1P3P1P/5RK1 b - - 5 23,f4e3,-0.46619,0.16594
4rrk1/p2q2pp/2pb4/3p1p1n/8/2PB1PP1/PPQB2KP/R4R2 b - - 3 18,4rrk1/p2q2pp/2pb4/3p3n/5p2/2PB1PP1/PPQB2KP/R4R2 w - - 0 19,f5f4,-0.24617,0.54628
5rk1/pp4pp/4p3/q1pPP2b/4n3/1P1BP3/P1Q3PP/R1B3K1 w - - 1 22,5rk1/pp4pp/4p3/q1pPP2b/4n3/1P1BP3/PBQ3PP/R5K1 b - - 2 22,c1b2,0.14288,0.15623
2r2nk1/1b3nq1/1r2p3/3pPpPN/1p1P4/6R1/PPp2PK1/1BQ4R b - - 0 37,2r2nk1/1b3nq1/1r2p3/3pPpPN/1p1P4/6R1/PP3PK1/1rQ4R w - - 0 38,c2b1r,-0.16345,0.46061
1rk5/3q1p2/p1p2Qp1/P1PpP2p/1r2bP2/1N5P/1RP3PK/1R6 b - - 6 47,1r6/2kq1p2/p1p2Qp1/P1PpP2p/1r2bP2/1N5P/1RP3PK/1R6 w - - 7 48,c8c7,-0.18134,0.47787
4r1k1/pp4p1/2p2r2/3p1PR1/3P4/3qP2R/PP3Q2/6K1 b - - 2 29,4r1k1/pp4p1/2p2r2/3p1PR1/3Pq3/4P2R/PP3Q2/6K1 w - - 3 30,d3e4,-0.00293,0.29876
2krr3/pp2bppp/2p2n2/q2p1P2/5B2/2NQ3P/PPP2PP1/2KRR3 w - - 0 15,2krr3/pp2bppp/2p2n2/q2p1P2/5B2/P1NQ3P/1PP2PP1/2KRR3 b - - 0 15,a2a3,-0.21251,0.50799
4r1k1/3R1ppp/p1p2qb1/1p6/5r2/1B4QP/PPP2PP1/3R2K1 b - - 0 22,4r1k1/3R1pp1/p1p2qb1/1p5p/5r2/1B4QP/PPP2PP1/3R2K1 w - - 0 23,h7h5,-0.26899,0.56188
r2q2k1/pp1b3r/3p1nnb/3Pp3/4PpP1/NQ5R/PP1BBNP1/2R3K1 b - - 6 25,r2q2kn/pp1b3r/3p1n1b/3Pp3/4PpP1/NQ5R/PP1BBNP1/2R3K1 w - - 7 26,g6h8,-0.3994,0.6917
