CONFIGURATION:
experiment file = experiments/parent_child_invariance_testing.py
git branch = main
git commit hash = 6a88ef0c1b72cfb62fd7eeddc4d7ce3bd1faea6f
uncommitted changes = True
seed = 42
engine_config_name = local_400_nodes.ini
data_config_name = parent_child_experiment_forced_moves_most_important_fens.ini
num_positions = 1000
network_path = T807785-b124efddc27559564d6464ba3d213a8279b7bd35b1cbfcf9c842ae8053721207
queue_max_size = 100000
num_engine_workers = 2
result_subdir = 

parent_fen,child_fen,move,parent_score,child_score
1Qkr3r/pR3p1p/n1p5/3b4/5B2/q5P1/P4P1P/3R2K1 b - - 7 27,1nkr3r/pR3p1p/2p5/3b4/5B2/q5P1/P4P1P/3R2K1 w - - 0 28,a6b8,-1.0,0.87512
r6k/1bR2R1p/3p2p1/7n/1B1p1b2/P2B1P2/1P4Pq/3Q1N1K w - - 0 33,r6k/1bR2R1p/3p2p1/7n/1B1p1b2/P2B1P2/1P4PN/3Q3K b - - 0 33,f1h2,-1.0,0.87523
4q3/7p/6pk/p4p2/2PQ3R/6P1/1P2rPKP/8 b - - 1 45,4q3/7p/6p1/p4pk1/2PQ3R/6P1/1P2rPKP/8 w - - 2 46,h6g5,-1.0,0.87296
r2k1b1r/pppb1Npp/5p2/5qB1/8/8/PPP2PPP/3RR1K1 b - - 3 17,r1k2b1r/pppb1Npp/5p2/5qB1/8/8/PPP2PPP/3RR1K1 w - - 4 18,d8c8,-1.0,0.87557
r1b2k1Q/1pq1bp2/p3pp2/n3P3/2p2P2/7R/1PP3rP/R6K b - - 3 24,r1b2krQ/1pq1bp2/p3pp2/n3P3/2p2P2/7R/1PP4P/R6K w - - 4 25,g2g8,-1.0,0.87624
rqb5/p6p/1p1bp3/4kp1N/4pP2/1BP5/PP5P/3R2K1 b - f3 0 30,rqb5/p6p/1p1bp3/4kp1N/8/1BP2p2/PP5P/3R2K1 w - - 0 31,e4f3,-1.0,0.87644
2b2rk1/1n5p/3P4/p1p1B2r/1pP2p2/1P3Pn1/P4RB1/3QRNKq w - - 1 31,2b2rk1/1n5p/3P4/p1p1B2r/1pP2p2/1P3Pn1/P4R2/3QRNKB b - - 0 31,g2h1,-1.0,0.87685
1R3bk1/p6r/2p5/2Pp4/P2Pp1b1/6P1/3Q1PBq/1R4K1 w - - 4 35,1R3bk1/p6r/2p5/2Pp4/P2Pp1b1/6P1/3Q1PBq/1R3K2 b - - 5 35,g1f1,-1.0,0.87773
6R1/pppr1q1k/4nN1b/4r3/2P5/1P6/P5QP/6RK b - - 3 36,6R1/pppr3k/4nq1b/4r3/2P5/1P6/P5QP/6RK w - - 0 37,f7f6,-1.0,0.87855
2R3k1/4bp1p/5Np1/3b2K1/1p3pP1/1P6/r6P/5B2 b - - 7 40,2R5/4bpkp/5Np1/3b2K1/1p3pP1/1P6/r6P/5B2 w - - 8 41,g8g7,-1.0,0.88068
3r1r1k/pbq1b1n1/1pn1p2Q/2pp2P1/3P1P2/2P1P3/PP1N3P/R1B3K1 b - - 1 21,3r1rk1/pbq1b1n1/1pn1p2Q/2pp2P1/3P1P2/2P1P3/PP1N3P/R1B3K1 w - - 2 22,h8g8,-1.0,0.88108
2N2bk1/1p5p/6p1/p6n/P3Pp2/2N2bqP/1PQ2P1K/3R1B2 w - - 1 31,2N2bk1/1p5p/6p1/p6n/P3Pp2/2N2bPP/1PQ4K/3R1B2 b - - 0 31,f2g3,-1.0,0.88117
r2q1r1k/1b2b1n1/p1n1p2Q/1ppp2P1/3P1P2/2P1P3/PP1N3P/R1B3K1 b - - 1 21,r2q1rk1/1b2b1n1/p1n1p2Q/1ppp2P1/3P1P2/2P1P3/PP1N3P/R1B3K1 w - - 2 22,h8g8,-1.0,0.88161
6r1/1p1q1p1k/2p1np2/4pN2/7R/r2PBPPP/2P4K/8 b - - 0 32,6r1/1p1q1p2/2p1npk1/4pN2/7R/r2PBPPP/2P4K/8 w - - 1 33,h7g6,-1.0,0.88158
r2q1rkR/1b2b1n1/p1n1p1Q1/1ppp2P1/3P1P2/2P1P3/PP1N3P/R1B3K1 b - - 2 20,r2q1r1k/1b2b1n1/p1n1p1Q1/1ppp2P1/3P1P2/2P1P3/PP1N3P/R1B3K1 w - - 0 21,g8h8,-1.0,0.88203
