,fen,original,mirror,difference
537,r1b1k2r/p3npbp/6p1/1pqp4/3pP3/PB1P4/1BP1NPPP/R2Q1RK1 w kq - 0 15,0.3065636706988887,0.2352199886367522,0.07134368206213648
538,2br1rk1/p3b1pp/1qp1pp2/3p4/2PpPPN1/1P1P3Q/P2N2PP/3R1RK1 w - - 0 19,-0.0966761937524993,-0.1679514918776597,0.0712752981251604
539,3r1rk1/pp4pp/2p5/5p2/5q2/2PB1n1P/PP3PP1/3QRRK1 w - - 1 21,0.2788900223087348,0.3500405449559876,0.0711505226472528
540,3r1rk1/2p2ppp/p2b4/1p1R4/4P1Pq/1BP1K3/PP1B4/R2Q4 b - - 4 22,0.4127385783396954,0.3416114674830253,0.07112711085667012
541,r6r/pp3pk1/2pq1pp1/5b2/2QPR3/1BP3R1/PP4PP/6K1 b - - 2 24,0.3416114674830253,0.4127385783396954,0.07112711085667012
542,6RQ/4qp1p/4p1pk/p3P3/Pp6/1b1B3P/5PP1/2r3K1 w - - 3 46,-0.183876101747644,-0.2549410248700909,0.07106492312244692
543,r4rk1/p3qppp/bp2pn2/2b5/4P2Q/2Nn1N2/PP1B1PPP/1BKR3R w - - 1 15,0.5386851507047159,0.6096755712525083,0.07099042054779237
544,2b1r3/p7/1qP3nk/5pp1/2B2p1p/2Q5/Pr2N1PP/2R1R2K b - - 4 27,0.5853377123575758,0.6562706035447635,0.07093289118718771
545,r6r/1kp5/1p1q4/1p1p1bpp/P2Ppn2/1NQ3B1/2P2PPP/R3R1K1 w - - 0 23,-0.3110609165913118,-0.2401959741153234,0.0708649424759884
546,2kr3r/p4pp1/1qp4p/n1bnp3/8/3P1P1P/PPPNQ2P/R1B1KB1R w KQ - 3 15,-0.4609876690754385,-0.3902017078923153,0.07078596118312319
547,2b1r1k1/5ppp/p1pq1n2/2Np4/3P4/RP2rPN1/2P3PP/2Q2RK1 w - - 1 19,0.1785928104923478,0.1078468485751416,0.0707459619172062
548,rn2kr2/pp2q1bp/2p1b3/4PB1R/P2P1Qp1/2P5/2P3K1/R1B3N1 b q - 2 18,-0.4271315885732764,-0.4978428275267229,0.0707112389534465
549,r2q1rk1/3n1ppp/pn1P1b2/1p6/3p2b1/1P3N2/PBB2PPP/RN1QR1K1 w - - 1 18,0.259794102595233,0.189133758730185,0.07066034386504799
550,5k2/6p1/4pqBp/p1r2p2/2p2R1Q/PbP4P/1P4P1/7K w - - 2 60,-0.470574483450536,-0.5412184954981362,0.07064401204760018
551,r1b2rk1/p1q1bp1p/1p2p1p1/3n4/2NNP3/1BPQ3P/PP4P1/R4RK1 b - - 0 17,0.3542051981882807,0.283583844009793,0.07062135417848775
552,nr4rk/3q1p2/BPRppb1p/3P4/4PPp1/4B1P1/1p2Q2P/1R5K w - - 0 35,0.9252020057894452,0.854647510284473,0.07055449550497217
553,2r5/pp1n1krp/2p1bq2/2P2p2/Q1PPp3/4P1B1/P3BRRP/6K1 b - - 4 28,-0.9245679169659669,-0.8540195482060889,0.07054836875987791
554,3r2k1/p2rbpp1/1pp1p2p/4Pb2/1PPP4/q1B2N1P/P2RQ1P1/3R3K w - - 5 29,-0.7307207518942483,-0.80123414339692,0.07051339150267166
555,r1bq3r/ppp3pp/8/3B4/3k4/2p2Q2/PPP2PPP/4R1K1 b - - 0 16,-0.7484433812151391,-0.678112235761185,0.07033114545395414
556,r1b1k2r/1p2bpp1/p3p2p/4P3/2pP2PP/1q2BN2/1P1Q1PK1/R6R w kq - 0 19,-0.4127385783396954,-0.4829648106257487,0.07022623228605329
557,r4rk1/pq3pn1/1pp1p1p1/4P1Bp/4Q1PP/5P2/PPP5/3RR1K1 b - - 0 22,-0.9013460839662604,-0.8312369113759659,0.07010917259029448
558,r4r1k/pp4p1/3N1np1/2P2p1q/1P2p3/P3PnPP/B4PK1/2RQ3R b - - 4 33,-0.7403252947226556,-0.8104113610114686,0.07008606628881298
559,2bk3r/3nn1N1/rq2pN2/p2p1pQB/1ppP4/2P5/PP4PP/R4RK1 b - - 7 26,-0.5437294263914524,-0.4737136295350062,0.07001579685644621
560,3r2k1/pb3pbp/5np1/1p6/8/1P1pPN2/PB3PPP/3N1RK1 w - - 2 24,-0.727710970615193,-0.6578079362986798,0.06990303431651312
561,r5k1/6pp/4p3/1pp1N3/1P5n/4B1qP/4Q1N1/5RK1 b - - 0 27,-0.2694057903655869,-0.1995701172958303,0.06983567306975658
562,r2q1r1k/2p2ppp/p2b1n2/1p1bp1B1/5P2/1B6/PPQ3PP/3R1RK1 w - - 0 17,-0.1995701172958303,-0.2694057903655869,0.06983567306975658
563,r4nk1/1p2qr1p/1p1n1p2/1PpPp1p1/P1P1P1PP/3B1RQ1/3B4/R5K1 b - - 0 31,0.3243536628070658,0.3940379717592684,0.06968430895220262
564,r2qr1k1/pPp2p2/1b1p4/7b/3P3p/1B1Q4/PP3PPP/4RRK1 b - - 0 19,-0.7671943215658641,-0.8368591756309369,0.06966485406507283
565,r3k3/pq1pr3/Rp1Qn1p1/1Pp1Pp1p/2P2P1P/3RB3/2P2KP1/8 w - - 22 46,0.5361291709629962,0.6057904204214342,0.06966124945843799
566,3r2k1/2R4p/6p1/7q/P2bpP2/1P1p2P1/6KP/2QR4 b - - 10 40,0.2047478404109947,0.1354720102548152,0.0692758301561795
567,k1q5/pr5p/1p1nNp2/2pP1n2/P1P4P/2K2P2/5B2/1Q4R1 b - - 4 34,-0.2047478404109947,-0.1354720102548152,0.0692758301561795
568,r1b2rk1/pp1p4/2n1p3/5ppp/2P1n3/2P1PNB1/PK3PPP/3R1B1R w - - 0 17,-0.2047478404109947,-0.1354720102548152,0.0692758301561795
569,5rk1/1pp3pp/p3p3/3q4/6Pb/1PP2r1P/2PBQP2/R3KR2 w Q - 7 20,-0.6115936258009953,-0.6808377622836479,0.0692441364826526
570,r2q3k/pbb3pp/5n2/2p2Q2/2N2P2/2P3P1/PPB1r2P/R1B2RK1 w - - 1 20,-0.80123414339692,-0.8703657795436999,0.06913163614677986
571,4r1k1/rbp1b2p/1n2p1nB/p2qPpN1/Pp1P4/1N4Q1/1PB2PP1/R4RK1 b - - 1 22,-0.3287180771874887,-0.3978419957234422,0.06912391853595351
572,r4k1r/1pp1qppp/1p1p1n2/1B1P4/8/7P/PPP2PP1/R2Q1K1R w - - 0 16,-0.259794102595233,-0.3287180771874887,0.06892397459225569
573,2b1rn2/2r1q1kp/p5pN/3p1pPP/1ppP1P2/4P1R1/PP2N3/1B2Q2K w - - 2 29,-0.6547210127244821,-0.7236006810036242,0.06887966827914205
