,parent_fen,child_fen,move,parent_score,child_score,difference
433,2q1rnkQ/p4r2/1p3pp1/3P4/2bPp2B/2P4R/P1B3PP/4R1K1 b - - 1 29,2q1rn1k/p4r2/1p3pp1/3P4/2bPp2B/2P4R/P1B3PP/4R1K1 w - - 0 30,g8h8,-1.0,-0.93352,0.06647999999999998
440,r1bqn3/2ppbQkp/p1n3p1/1p2P3/8/5R2/PPP2PPP/RNB3K1 b - - 3 16,r1bqn2k/2ppbQ1p/p1n3p1/1p2P3/8/5R2/PPP2PPP/RNB3K1 w - - 4 17,g7h8,-1.0,-0.93364,0.06635999999999997
435,8/2p2Qbk/2N2qp1/2R2pKp/4pP2/3p2P1/7r/8 w - - 2 37,8/2p3bk/2N2Qp1/2R2pKp/4pP2/3p2P1/7r/8 b - - 0 37,f7f6,-1.0,-0.93365,0.06635000000000002
436,8/2B3pk/p7/8/PRP4P/5b2/4n2K/5n2 w - - 1 51,8/2B3pk/p7/8/PRP4P/5b1K/4n3/5n2 b - - 2 51,h2h3,-1.0,-0.93367,0.06633
437,5r1k/2R3Bp/p3P1b1/3B4/p1p1P2P/6PK/8/3q4 b - - 0 34,5rk1/2R3Bp/p3P1b1/3B4/p1p1P2P/6PK/8/3q4 w - - 1 35,h8g8,-1.0,-0.93368,0.06632000000000005
438,1r3r1k/2R1R1pQ/pp1Np2p/4P2q/5P2/P5Pb/1P5P/6K1 b - - 5 43,1r3r2/2R1R1pk/pp1Np2p/4P2q/5P2/P5Pb/1P5P/6K1 w - - 0 44,h8h7,-1.0,-0.93371,0.06628999999999996
439,r2q2rk/p2b1p1Q/1p2nPp1/3pP3/2pP1R2/P1P3N1/6PP/1B3RK1 b - - 0 24,r2q2r1/p2b1p1k/1p2nPp1/3pP3/2pP1R2/P1P3N1/6PP/1B3RK1 w - - 0 25,h8h7,-1.0,-0.93373,0.06627000000000005
441,8/6Rk/2N1p2p/1r2P2N/1p2n3/1Pb5/2P3K1/8 b - - 6 48,7k/6R1/2N1p2p/1r2P2N/1p2n3/1Pb5/2P3K1/8 w - - 7 49,h7h8,-1.0,-0.93374,0.06625999999999999
442,1r6/8/p1r1pR1p/2p3pk/4K3/1p5R/P4P2/8 b - - 3 38,1r6/8/p1r1pR1p/2p3p1/4K1k1/1p5R/P4P2/8 w - - 4 39,h5g4,-1.0,-0.93382,0.06618000000000002
443,8/1p5k/4p2p/3R2pQ/8/3N2P1/7K/2B2qb1 w - - 1 47,8/1p5k/4p2p/3R2pQ/8/3N2P1/8/2B2qbK b - - 2 47,h2h1,-1.0,-0.93382,0.06618000000000002
447,8/2p2N1p/3pN2k/3PP3/p1n2KPP/8/8/8 b - - 4 63,8/2p2N1p/3pN1k1/3PP3/p1n2KPP/8/8/8 w - - 5 64,h6g6,-1.0,-0.93382,0.06618000000000002
444,1r5k/5Rrp/3p4/1N1Bb3/P3p3/1QR3p1/1P3P2/6Kq w - - 2 34,1r5k/5Rrp/3p4/1N1Bb3/P3p3/1QR3p1/1P3P2/7K b - - 0 34,g1h1,-1.0,-0.93384,0.06616
445,5r1k/pR6/3p2p1/2pQn3/2P1B2p/2P1P2b/P1N2q1P/1R4K1 w - - 3 30,5r1k/pR6/3p2p1/2pQn3/2P1B2p/2P1P2b/P1N2q1P/1R5K b - - 4 30,g1h1,-1.0,-0.93386,0.06613999999999998
446,8/2r1N3/5R2/1p2n3/1k2P2P/1P3P2/P1q5/1K3Q2 w - - 1 34,8/2r1N3/5R2/1p2n3/1k2P2P/1P3P2/P1q5/K4Q2 b - - 2 34,b1a1,-1.0,-0.93388,0.06611999999999996
