,parent_fen,child_fen,move,parent_score,child_score,difference
875,1k6/2bP4/5P2/1BR1p3/5r2/8/2K5/8 w - - 1 76,1k6/2bP4/2B2P2/2R1p3/5r2/8/2K5/8 b - - 2 76,b5c6,0.42775,0.53328,0.10552999999999996
874,8/1P6/1bp1k3/3pBp2/5P2/4K3/8/8 w - - 3 89,8/1P6/1bp1k3/3p1p2/3B1P2/4K3/8/8 b - - 4 89,e5d4,0.45407,0.34856,0.10550999999999999
877,1k3r2/4R3/2b2p2/ppPN1p1p/3P4/P5P1/1P6/1K6 w - - 3 44,1k3r2/2N1R3/2b2p2/ppP2p1p/3P4/P5P1/1P6/1K6 b - - 4 44,d5c7,0.28511,0.17961,0.10549999999999998
876,8/p7/3RP1P1/2p3K1/8/1k6/3p2r1/8 w - - 3 45,8/p7/3RPKP1/2p5/8/1k6/3p2r1/8 b - - 4 45,g5f6,0.37805,0.27256,0.10548999999999997
879,2b5/2p5/P4k2/1PK5/2P5/8/R7/5r2 b - - 4 50,2b5/2p5/P4k2/1PK5/2P5/8/R7/2r5 w - - 5 51,f1c1,-0.47973,-0.37424,0.10548999999999997
878,8/5p2/6kp/4PR2/5PP1/7K/8/4r3 b - - 0 58,8/5pk1/7p/4PR2/5PP1/7K/8/4r3 w - - 1 59,g6g7,-0.25992,-0.3653,0.10538000000000003
880,4b2R/pk2q1p1/4p3/1p4N1/2pP1P2/P3P3/1P1NK1P1/8 w - - 3 28,4b2R/pk2q1p1/4p3/1p4N1/2pPNP2/P3P3/1P2K1P1/8 b - - 4 28,d2e4,0.11789,0.22321,0.10532
881,1rr5/4k1pp/Rb1pp3/1pp1p3/1P2P3/2PP1P2/5BPP/4RK2 b - - 0 25,1rr5/3k2pp/Rb1pp3/1pp1p3/1P2P3/2PP1P2/5BPP/4RK2 w - - 1 26,e7d7,-0.25517,-0.36049,0.10531999999999997
882,8/p6k/1p1p2pB/3Qp2p/4P3/6P1/PP5P/4K2q w - - 1 31,8/p6k/1p1p2pB/3Qp2p/4P3/6P1/PP2K2P/7q b - - 2 31,e1e2,-0.55692,-0.45161,0.10530999999999996
883,5R2/4n3/2p4k/p3Bp2/1b6/1B1r3P/8/7K w - - 2 49,5R2/4n3/2p1B2k/p3Bp2/1b6/3r3P/8/7K b - - 3 49,b3e6,-0.61812,-0.7234,0.10528000000000004
884,8/3k3p/p7/2prp1p1/P3R3/1PK2P1P/6P1/8 b - - 1 61,8/7p/p3k3/2prp1p1/P3R3/1PK2P1P/6P1/8 w - - 2 62,d7e6,-0.28695,-0.39219,0.10524
885,2kr4/1pp3pp/4bp2/4p3/1r2P3/1PRP1PPP/4K1B1/1R6 b - - 2 27,2k5/1pp3pp/3rbp2/4p3/1r2P3/1PRP1PPP/4K1B1/1R6 w - - 3 28,d8d6,0.62737,0.52217,0.10519999999999996
886,5R2/4n3/2p4k/p3Bp1r/1b6/8/2B3K1/8 w - - 2 51,8/4nR2/2p4k/p3Bp1r/1b6/8/2B3K1/8 b - - 3 51,f8f7,-0.57235,-0.67754,0.10519
887,7k/p3r1p1/4N3/4qPpP/8/2PK1Q2/PP6/8 b - - 8 51,7k/p3r1p1/4N3/1q3PpP/8/2PK1Q2/PP6/8 w - - 9 52,e5b5,0.2207,0.11554,0.10516
888,8/8/8/pp6/2k4p/2P4P/P1K5/8 w - - 0 46,8/8/8/pp6/2k4p/2P4P/P2K4/8 b - - 1 46,c2d2,-0.3769,-0.48203,0.10513
889,8/p4p1p/r1kbp1p1/1p6/2rP1P2/P1P3PP/RB2K3/1R6 b - - 8 42,8/p4p1p/r1kbp1p1/1p6/r2P1P2/P1P3PP/RB2K3/1R6 w - - 9 43,c4a4,0.59206,0.48696,0.10510000000000003
890,8/p1NQ4/8/5p2/P2Pq2b/2P2k2/KP6/8 b - - 0 41,8/p1NQ4/8/8/P2Pqp1b/2P2k2/KP6/8 w - - 0 42,f5f4,-0.49737,-0.60242,0.10504999999999998
891,2b3k1/2Pq4/pp2pQ2/3P1pBp/8/PP6/5K2/8 w - - 2 40,2b3k1/2Pq4/pp2pQ2/3P1p1p/5B2/PP6/5K2/8 b - - 3 40,g5f4,0.65053,0.54549,0.10504000000000002
892,6k1/7p/5pp1/2Pp4/3q4/8/2r3PP/4RQ1K w - - 4 41,6k1/7p/5pp1/2Pp4/3q4/8/2r3PP/3R1Q1K b - - 5 41,e1d1,-0.41577,-0.5208,0.10503000000000007
893,8/p7/r4k2/2pB1Ppp/b1P1P3/8/R6P/6K1 w - - 0 35,8/p7/r4k2/2pB1Ppp/b1P1P3/8/R4K1P/8 b - - 1 35,g1f2,0.50085,0.60588,0.10502999999999996
894,8/8/6R1/3kp3/7p/7P/r7/6K1 b - - 4 69,8/8/6R1/3k4/4p2p/7P/r7/6K1 w - - 0 70,e5e4,0.22422,0.11927,0.10495
895,7k/6p1/1p5p/pQb1Pp1q/P7/2P3B1/1P4KP/8 b - - 0 34,7k/6p1/1p5p/pQb1Pp2/P7/2P3B1/1P4KP/3q4 w - - 1 35,h5d1,0.39568,0.29073,0.10494999999999999
896,R7/3r1kp1/1pp2p1p/5R2/3bP3/8/4K1PP/8 b - - 5 45,R7/3r1kp1/2p2p1p/1p3R2/3bP3/8/4K1PP/8 w - - 0 46,b6b5,0.42281,0.31792,0.10489000000000004
897,8/7p/4k2P/1pr5/4PK2/R7/P7/8 b - - 6 52,8/7p/4k2P/1p5r/4PK2/R7/P7/8 w - - 7 53,c5h5,-0.52509,-0.62997,0.10488000000000008
898,8/1kp4p/2p2p2/Pp6/8/3p2P1/2q2P1P/2bRQ1K1 w - - 0 30,8/1kp4p/2p2p2/Pp6/8/3p2P1/2q2P1P/2R1Q1K1 b - - 0 30,d1c1,-0.55645,-0.6612,0.10475000000000001
899,8/k7/b3N3/P2p4/1K1P4/8/8/8 w - - 0 50,8/k7/b3N3/P1Kp4/3P4/8/8/8 b - - 1 50,b4c5,0.54333,0.43862,0.10470999999999997
900,8/2p3pk/2p4p/p1P1qP2/3r4/1PQ4P/P2p2P1/3R2K1 w - - 2 41,8/2p3pk/2p4p/p1P1qP2/3r4/1P3Q1P/P2p2P1/3R2K1 b - - 3 41,c3f3,-0.72443,-0.82906,0.10463
901,8/8/8/pp5p/2k5/2P4P/P1K5/8 b - - 1 45,8/8/8/pp6/2k4p/2P4P/P1K5/8 w - - 0 46,h5h4,0.27648,0.38111,0.10463
902,8/pp1r1pkp/1n1P2p1/4r3/PR6/3R1BPP/6K1/8 w - - 1 32,8/pp1r1pkp/1n1P2p1/4r3/PR4B1/3R2PP/6K1/8 b - - 2 32,f3g4,-0.20703,-0.31166,0.10463
903,8/4kp2/6p1/p1q3Pp/7P/1P3Q2/6K1/8 b - - 18 54,8/4kp2/6p1/p5Pp/3q3P/1P3Q2/6K1/8 w - - 19 55,c5d4,0.49822,0.39361,0.10460999999999998
904,8/pKP1npp1/4k2p/p1N5/6P1/5P2/7P/8 b - - 2 51,8/pKP1npp1/7p/p1Nk4/6P1/5P2/7P/8 w - - 3 52,e6d5,-0.609,-0.71359,0.10458999999999996
905,1k6/1r6/1K4R1/p2N4/P7/7p/8/8 w - - 2 71,1k6/1r6/K5R1/p2N4/P7/7p/8/8 b - - 3 71,b6a6,0.32311,0.21853,0.10458
906,8/1p6/8/PPK1k3/4P3/1r5p/7R/8 w - - 5 54,8/1p6/1P6/P1K1k3/4P3/1r5p/7R/8 b - - 0 54,b5b6,0.35288,0.24834,0.10454000000000002
907,8/2R5/2pB3p/6r1/3Pp1k1/1P1n4/P4P2/5K2 w - - 7 41,8/2R5/2pB3p/6r1/3Pp1k1/1P1n4/P3KP2/8 b - - 8 41,f1e2,0.48101,0.58551,0.10449999999999998
908,8/ppp4k/4Q2b/2PP4/8/2Nb1r1P/PP6/3K4 w - - 9 43,8/ppp1Q2k/7b/2PP4/8/2Nb1r1P/PP6/3K4 b - - 10 43,e6e7,0.12101,0.01652,0.10449
909,8/8/R3pK2/3b4/3kp3/8/8/8 w - - 0 54,8/8/4pK2/3b4/R2kp3/8/8/8 b - - 1 54,a6a4,-0.6954,-0.79987,0.10446999999999995
910,8/5n2/5kp1/7p/5p1P/3B1P1K/8/8 w - - 6 80,8/5n2/5kp1/7p/5p1P/3B1P2/6K1/8 b - - 7 80,h3g2,-0.35296,-0.2486,0.10436000000000001
912,kr6/6R1/8/7p/2PB2np/1P6/r5P1/5RK1 w - - 2 34,kr6/6R1/8/7p/1PPB2np/8/r5P1/5RK1 b - - 0 34,b3b4,0.59502,0.69937,0.10435000000000005
911,8/7p/4k1p1/4p1P1/p3P3/P2K4/1P6/8 b - - 1 49,8/8/4k1p1/4p1Pp/p3P3/P2K4/1P6/8 w - h6 0 50,h7h5,-0.59735,-0.70169,0.10433999999999999
913,3r1k2/5pp1/pr1P3p/4P1bP/2R1Np2/8/1P6/1K1R4 b - - 0 45,3r1k2/5pp1/p2P3p/1r2P1bP/2R1Np2/8/1P6/1K1R4 w - - 1 46,b6b5,-0.16031,-0.05609,0.10422000000000001
914,1r6/3P4/2p5/2p1k3/p1P1PpB1/5K2/P4P2/8 w - - 4 45,1r6/3P4/2p5/2p1k3/p1P1PpB1/P4K2/5P2/8 b - - 0 45,a2a3,-0.42498,-0.5292,0.10421999999999998
915,8/8/p3RP2/1p1r4/1P6/P2Kp3/5k2/8 w - - 4 49,8/8/p3RP2/1p1r4/1P2K3/P3p3/5k2/8 b - - 5 49,d3e4,-0.63909,-0.74326,0.10416999999999998
916,8/5pk1/1p3r2/7p/R7/2PB4/P7/3K2n1 w - - 4 39,8/5pk1/1p3r2/7p/7R/2PB4/P7/3K2n1 b - - 5 39,a4h4,-0.43751,-0.54164,0.10413
918,8/pp6/2pbn1k1/3p3N/6Pp/1P1PP3/PBP3K1/8 b - - 3 43,8/ppb5/2p1n1k1/3p3N/6Pp/1P1PP3/PBP3K1/8 w - - 4 44,d6c7,-0.68114,-0.78525,0.10411000000000004
917,8/7k/3Kp1r1/3p2r1/1Pp5/2Q5/8/8 w - - 3 82,8/7k/3Kp1r1/1P1p2r1/2p5/2Q5/8/8 b - - 0 82,b4b5,-0.20856,-0.31267,0.10411000000000001
919,4b2b/2pk4/pp2pp2/3p4/3P1PP1/3N4/PPPKN3/8 w - - 2 28,4b2b/2pk4/pp2pp2/3p4/3P1PP1/3N2N1/PPPK4/8 b - - 3 28,e2g3,0.01567,-0.08842,0.10409
920,3r2k1/1p3pp1/p3p3/6P1/R7/1P2PQ2/1P4PK/4q3 b - - 0 38,6k1/1p3pp1/p3p3/3r2P1/R7/1P2PQ2/1P4PK/4q3 w - - 1 39,d8d5,0.45017,0.55422,0.10405000000000003
921,6r1/p6p/2P5/PP2k3/4bp1P/2R3p1/4BpP1/5K2 b - - 0 34,6r1/p6p/2Pk4/PP6/4bp1P/2R3p1/4BpP1/5K2 w - - 1 35,e5d6,0.27027,0.16628,0.10399
922,8/4k2n/1p6/pP1PP2p/2p2K2/6Pb/7R/8 b - - 1 46,8/3bk2n/1p6/pP1PP2p/2p2K2/6P1/7R/8 w - - 2 47,h3d7,-0.41556,-0.51948,0.10392000000000007
924,2r5/pb3k2/6pR/2pp4/8/PP1BB3/1b3PP1/5K2 b - - 1 28,2r5/pb3k2/6pR/2p5/3p4/PP1BB3/1b3PP1/5K2 w - - 0 29,d5d4,-0.50904,-0.61294,0.10389999999999999
923,5r2/p5pp/1p2k3/4Pp2/2pP4/5P2/P2K2PP/3R4 w - - 0 28,5r2/p5pp/1p2k3/4Pp2/2pP4/2K2P2/P5PP/3R4 b - - 1 28,d2c3,0.24869,0.14484,0.10385
925,2r2k2/2p2pp1/1pPp2np/pP1Pn3/3B4/7P/P1B2PP1/4RK2 w - - 0 29,2r2k2/2p2pp1/1pPp2np/pP1Pn3/P2B4/7P/2B2PP1/4RK2 b - - 0 29,a2a4,0.62758,0.52373,0.10385
926,8/5p1p/6p1/6P1/8/4KP1k/8/8 w - - 0 52,8/5p1p/6p1/6P1/3K4/5P1k/8/8 b - - 1 52,e3d4,-0.70204,-0.80587,0.10382999999999998
927,k1r5/1p4p1/7p/7P/6q1/P2Q2P1/KP6/3R4 w - - 12 44,k1r5/1p1Q2p1/7p/7P/6q1/P5P1/KP6/3R4 b - - 13 44,d3d7,0.31578,0.21196,0.10382
928,8/ppp4k/4Q2b/2PP4/8/2Nb1r1P/PP6/3K4 w - - 1 39,8/ppp1Q2k/7b/2PP4/8/2Nb1r1P/PP6/3K4 b - - 2 39,e6e7,0.17024,0.06643,0.10381
929,5k2/7p/5bp1/1R2P3/2N5/5K2/1p5r/8 b - - 5 62,5k2/6bp/6p1/1R2P3/2N5/5K2/1p5r/8 w - - 6 63,f6g7,0.37253,0.47631,0.10378000000000004
930,5Bk1/p7/3p1p1R/2pPp3/4q3/1p6/6N1/5R1K w - - 2 44,5Bk1/p7/3p1p1R/2pPp3/4q3/1p6/5RN1/7K b - - 3 44,f1f2,0.30047,0.19671,0.10376000000000002
932,8/7p/5k2/5p2/6p1/2r1n1P1/4R2P/4N2K b - - 1 40,8/8/5k2/5p1p/6p1/2r1n1P1/4R2P/4N2K w - - 0 41,h7h5,0.15349,0.25724,0.10375000000000004
931,8/3k2p1/1P2pp2/2K4p/2N2P1P/5bP1/8/8 b - - 0 50,8/3k2p1/1P2pp2/2K4p/2N2P1P/6P1/6b1/8 w - - 1 51,f3g2,-0.42752,-0.32377,0.10375000000000001
933,6k1/7p/5pp1/2Pp2q1/8/8/2r3PP/4RQ1K w - - 8 43,6k1/7p/5pp1/2Pp2q1/8/7P/2r3P1/4RQ1K b - - 0 43,h2h3,-0.55036,-0.6541,0.10374000000000005
934,8/p1n1rk2/1pR1p2r/3p4/PP4BP/6K1/2P1R3/8 b - - 0 40,4n3/p3rk2/1pR1p2r/3p4/PP4BP/6K1/2P1R3/8 w - - 1 41,c7e8,-0.37059,-0.47432,0.10373000000000004
935,8/5p1p/5p2/4pP1K/1k2P3/8/6PP/8 b - - 1 38,8/5p1p/5p2/4pP1K/2k1P3/8/6PP/8 w - - 2 39,b4c4,0.17781,0.07425,0.10356
936,3r4/1k1p2p1/3Rp3/2p1K3/p1P5/1P4P1/P7/8 w - - 0 31,3r4/1k1p2p1/3Rp3/2p1K3/p1P3P1/1P6/P7/8 b - - 0 31,g3g4,-0.28588,-0.38944,0.10355999999999999
937,1r6/2k2p1p/bpp1pp2/r7/1RP5/2P1P3/4BPPP/1R4K1 w - - 4 22,1r6/2k2p1p/bpp1pp2/r7/2P5/2P1P3/1R2BPPP/1R4K1 b - - 5 22,b4b2,-0.27891,-0.38235,0.10344000000000003
938,8/6k1/R5p1/2K1p1P1/7P/p2r4/8/8 b - - 8 67,8/5k2/R5p1/2K1p1P1/7P/p2r4/8/8 w - - 9 68,g7f7,0.50144,0.398,0.10343999999999998
939,3r2k1/1p1r3p/pb3pp1/3pP3/4N3/2P5/PP1R2PP/3R3K b - - 1 30,3r4/1p1r1k1p/pb3pp1/3pP3/4N3/2P5/PP1R2PP/3R3K w - - 2 31,g8f7,-0.51006,-0.61341,0.10335000000000005
942,8/8/2p5/pp2R3/2r2nk1/8/P4RP1/3rB1K1 w - - 22 47,4R3/8/2p5/pp6/2r2nk1/8/P4RP1/3rB1K1 b - - 23 47,e5e8,-0.7555,-0.85881,0.10331000000000001
