CONFIGURATION:
experiment file = experiments/transformation_invariance_testing.py
git branch = main
git commit hash = 6a88ef0c1b72cfb62fd7eeddc4d7ce3bd1faea6f
uncommitted changes = True
seed = 42
engine_config_name = local_400_nodes.ini
data_config_name = mirror_experiment_most_important_fens.ini
remove_pawns = False
num_positions = 1000
network_path = T807785-b124efddc27559564d6464ba3d213a8279b7bd35b1cbfcf9c842ae8053721207
transformations = ['mirror']
queue_max_size = 100000
num_engine_workers = 2
result_subdir = 

fen,original,mirror
6k1/pR1Q2p1/7p/4rp2/8/1Pn3qP/2P3P1/3R3K w - - 0 34,0.889630963673687,0.7094235201173644
r5k1/1pR3p1/p1np1pP1/3q1Pn1/P5P1/4pP1R/1P4K1/7Q b - - 0 34,-0.011459702414758802,0.16795149187765976
3rr2k/1p1B2pp/p3P3/1Pq5/3p1QP1/1b5P/1B5K/5R2 w - - 1 40,0.6096755712525083,0.4306524539120807
5r1k/2R4p/3n1qpb/1PB5/3p4/1Q3B2/2Pr2PP/5RK1 b - - 4 33,-0.2741639421760361,-0.09667619375249936
r4rk1/pp3pp1/2nbb3/3N3n/4P2q/1N5P/PP1B1PB1/R2Q1RK1 w - - 1 17,0.19957011729583035,0.02291206523366934
4r2r/pk4pp/2bB4/Q1R5/3K4/3P2P1/PPP2p1P/4qR2 b - - 4 34,0.051463025001402936,-0.12447736266026811
r3r1k1/1bp2p2/1pq3pp/1B2Rp2/3P1P2/2P5/P1Q3PP/4R1K1 b - - 5 22,0.40535388832870806,0.23021404987967117
5rk1/ppn3p1/2p2r2/2qp1P1p/P5P1/1P1QR2P/1NP5/5RK1 b - - 0 24,0.3373469856532258,0.16259459502186754
3rr2k/2q1b1pp/p4p2/1p1B1R2/8/2P4P/PP2Q1P1/5R1K w - - 4 27,-0.02291206523366934,0.1518112921932187
r2rb1k1/1p2bppp/pn2pn2/q3N1B1/P2P4/2NBQ3/1P3PPP/R2R2K1 b - - 8 16,0.259794102595233,0.0854459048889734
rnb2r2/pp2Qpkp/2pP4/7q/2BP1Bp1/2P5/PP4P1/RN4K1 b - - 4 17,-0.5230019390164954,-0.3500405449559876
r5k1/pb2qpp1/1p1rpn1p/2pPN3/2P5/8/PPQ2PPP/1B1RR1K1 b - - 2 20,0.017187259227091543,0.18913375873018504
r1b1k2r/pp2n1bp/2p5/5pN1/P1BP1B1q/N3Q3/1PP3P1/R5Kn b kq - 1 18,0.4478018936336012,0.6191063392366816
1r2qrk1/p1p3pp/2p5/3pRb2/5P2/PPN3Pn/1BP3QP/3R3K b - - 0 24,0.45445312093582724,0.6245780354498127
r2qr1k1/p4ppp/2pbbn2/3p1PQ1/8/2N1B3/PPP1B1PP/3R1RK1 b - - 0 16,0.7421707932264028,0.5721910848457791
2rr1n1k/1b3qbp/p4Np1/4p1P1/4P2N/4BP1Q/1P5R/6RK w - - 12 37,0.5676537285098876,0.3978419957234422
1r3bk1/1b2q1p1/p2p4/2pP1p1P/2N2P1n/1PB4P/2B4K/3Q1R2 b - - 3 33,-0.259794102595233,-0.09106810307131587
